date,tplb,d2m,u10,v10,t2m,sst,sp
2020/1/1 0:00,30.94128388,295.7006191,-8.159753354,-7.340195917,298.5633604,299.2893459,101836.2802
2020/1/1 1:00,31.51487079,295.6937545,-8.176931751,-7.340573683,298.6094876,299.2893455,101845.9133
2020/1/1 2:00,33.04342041,295.6866444,-8.175234166,-7.330835766,298.6660754,299.2893447,101848.1884
2020/1/1 3:00,34.26522308,295.6818866,-8.141236503,-7.316563018,298.7205836,299.2893435,101835.9872
2020/1/1 4:00,34.9206179,295.680788,-8.079412123,-7.300131073,298.7670429,299.2893415,101807.9872
2020/1/1 5:00,33.72592232,295.6822566,-8.001157199,-7.287177673,298.8007413,299.2893384,101771.5535
2020/1/1 6:00,32.74735033,295.6847392,-7.927340992,-7.29138693,298.8212208,299.2893336,101735.2558
2020/1/1 7:00,33.08101638,295.6865448,-7.870279526,-7.314182415,298.8287941,299.2893261,101710.3599
2020/1/1 8:00,34.55628715,295.6844505,-7.827297339,-7.345089523,298.821099,299.2893143,101702.7496
2020/1/1 9:00,37.38252898,295.6728339,-7.773090129,-7.380414404,298.7979969,299.2892961,101710.829
2020/1/1 10:00,41.40769425,295.6440969,-7.683270798,-7.41180633,298.7539914,299.2892676,101732.8882
2020/1/1 11:00,46.44388478,295.6310766,-7.682840685,-7.421452765,298.7136798,299.2892232,101758.6794
2020/1/1 12:00,52.00841165,295.6252565,-7.72181346,-7.391123822,298.6783363,299.289154,101783.1734
2020/1/1 13:00,59.21289731,295.6208276,-7.765741244,-7.313954663,298.6441595,299.2890463,101803.6357
2020/1/1 14:00,67.73903045,295.6142599,-7.792560005,-7.205883201,298.6101222,299.2888783,101812.7504
2020/1/1 15:00,76.83975475,295.6044683,-7.790436233,-7.085200516,298.5782649,299.2886166,101809.8492
2020/1/1 16:00,87.67573094,295.5917975,-7.75525444,-6.964352395,298.5494806,299.2882089,101797.7194
2020/1/1 17:00,99.46071113,295.5774379,-7.683959297,-6.858487139,298.5218062,299.2875735,101777.6402
2020/1/1 18:00,112.7997028,295.5622929,-7.591319039,-6.778707909,298.4962261,299.2865833,101756.2252
2020/1/1 19:00,128.7414325,295.5467183,-7.487712573,-6.729897787,298.4775847,299.2850405,101740.3172
2020/1/1 20:00,143.1987587,295.5305637,-7.375255124,-6.709750827,298.4681432,299.2826362,101737.2093
2020/1/1 21:00,157.8812919,295.5127684,-7.252088167,-6.71876733,298.4708389,299.2788899,101750.1827
